trial,val_accuracy,val_recall,val_precision,val_f1,val_auc,hidden_sizes,n_layers,n_units_l0,n_units_l1,n_units_l2,activation,learning_rate,alpha,batch_size,n_units_l3
81,0.9197684036393714,0.9051724137931034,0.7906626506024096,0.8440514469453376,0.9599954035495853,"[384, 64]",2,384,64,,relu,0.0009557734525265082,3.0711092633705913e-05,64,
82,0.8879102136276775,0.8275862068965517,0.8121827411167513,0.8198121263877028,0.9611210648756144,"[384, 64]",2,384,64,,relu,0.00119012456896874,1.952115011835339e-05,64,
83,0.9189412737799835,0.8603448275862069,0.8127035830618893,0.8358458961474037,0.9601107838355033,"[384, 64]",2,384,64,,relu,0.0004909137046935557,3.867811351225647e-06,64,
84,0.9201819685690653,0.9086206896551724,0.7901049475262368,0.8452285485164395,0.9627410791339912,"[384, 64]",2,384,64,,relu,0.0008812725329539744,8.003481874524397e-05,64,
85,0.8647391688770999,0.8172413793103448,0.8102564102564103,0.8137339055793992,0.9455175227946419,"[128, 64]",2,128,64,,relu,0.0010625220751643363,2.380219246395828e-05,64,
86,0.8723230940361086,0.8189655172413793,0.8232235701906413,0.8210890233362144,0.9535294172826535,"[384, 512]",2,384,512,,relu,0.0016507535540679504,4.968458238646926e-05,64,
87,0.9205955334987593,0.8741379310344828,0.8099041533546326,0.8407960199004975,0.9658403999849912,"[384, 64]",2,384,64,,tanh,0.0006848171583678157,1.4835640493941392e-05,128,
88,0.8931525056330396,0.8310344827586207,0.8046744574290484,0.8176420695504665,0.9555584218228209,"[384, 128, 384]",3,384,128,384.0,relu,0.0007845693867799442,0.00017733407008922768,64,
89,0.8765984997575654,0.8206896551724138,0.8249566724436742,0.8228176318063959,0.9575677272897828,"[384, 384]",2,384,384,,tanh,0.0009626623720332025,5.6084323840299165e-06,64,
90,0.9090157154673284,0.843103448275862,0.7912621359223301,0.8163606010016694,0.9414229297212111,"[128, 64]",2,128,64,,relu,0.0003353462490250933,3.0514079024313128e-05,64,
91,0.9121821967428196,0.8362068965517241,0.8304794520547946,0.8333333333333334,0.9628330081422836,"[384, 64]",2,384,64,,tanh,0.0011218760015398945,2.5661209924941485e-05,64,
92,0.9172870140612076,0.843103448275862,0.8177257525083612,0.830220713073005,0.9614709579377884,"[384, 64]",2,384,64,,tanh,0.0012881970335912136,5.681365626329023e-05,64,
93,0.923490488006617,0.8517241379310345,0.8330522765598651,0.8422847399829497,0.9626041236726577,"[384, 64]",2,384,64,,tanh,0.004939055215909008,3.37491593776203e-05,64,
94,0.9164598842018197,0.8448275862068966,0.813953488372093,0.8291032148900169,0.9648845259089716,"[384, 64]",2,384,64,,tanh,0.003989983030935702,7.390591404678303e-06,64,
95,0.9011579818031431,0.8758620689655172,0.7525925925925926,0.8095617529880478,0.9349156692056584,"[64, 64]",2,64,64,,tanh,0.002556568130747021,3.476780744613848e-05,64,
96,0.9168734491315137,0.8655172413793103,0.8032,0.833195020746888,0.947417076282316,"[512, 512]",2,512,512,,tanh,0.003432230615708887,1.8462872500558104e-05,256,
97,0.9061207609594706,0.843103448275862,0.7824,0.8116182572614108,0.9511420772203668,"[384, 64]",2,384,64,,relu,0.004737289361887584,0.0007432441664271916,64,
98,0.9226633581472291,0.8775862068965518,0.8144,0.8448132780082988,0.9605741810813853,"[384, 64]",2,384,64,,tanh,0.0009163603901428253,1.4071799831627407e-05,64,
99,0.8076386868600439,0.7913793103448276,0.8080985915492958,0.7996515679442509,0.956563074556302,"[256, 64]",2,256,64,,tanh,0.0006017066182202815,1.2430037621139454e-05,64,
